 Number | Obsoleted |        Reference
RFC0653 |           | Crocker, D., "Telnet output horizontal tabstops option", RFC 653, DOI 10.17487/RFC0653, October 1974, <https://www.rfc-editor.org/info/rfc653>.
RFC0654 |           | Crocker, D., "Telnet output horizontal tab disposition option", RFC 654, DOI 10.17487/RFC0654, October 1974, <https://www.rfc-editor.org/info/rfc654>.
RFC0655 |           | Crocker, D., "Telnet output formfeed disposition option", RFC 655, DOI 10.17487/RFC0655, October 1974, <https://www.rfc-editor.org/info/rfc655>.
RFC0656 |           | Crocker, D., "Telnet output vertical tabstops option", RFC 656, DOI 10.17487/RFC0656, October 1974, <https://www.rfc-editor.org/info/rfc656>.
RFC0657 |           | Crocker, D., "Telnet output vertical tab disposition option", RFC 657, DOI 10.17487/RFC0657, October 1974, <https://www.rfc-editor.org/info/rfc657>.
RFC0658 |           | Crocker, D., "Telnet output linefeed disposition", RFC 658, DOI 10.17487/RFC0658, October 1974, <https://www.rfc-editor.org/info/rfc658>.
RFC0659 |           | Postel, J., "Announcing additional Telnet options", RFC 659, DOI 10.17487/RFC0659, October 1974, <https://www.rfc-editor.org/info/rfc659>.
RFC0660 |           | Walden, D., "Some changes to the IMP and the IMP/Host interface", RFC 660, DOI 10.17487/RFC0660, October 1974, <https://www.rfc-editor.org/info/rfc660>.
RFC0661 |           | Postel, J., "Protocol information", RFC 661, DOI 10.17487/RFC0661, November 1974, <https://www.rfc-editor.org/info/rfc661>.
RFC0662 |           | Kanodia, R., "Performance improvement in ARPANET file transfers from Multics", RFC 662, DOI 10.17487/RFC0662, November 1974, <https://www.rfc-editor.org/info/rfc662>.
RFC0663 |           | Kanodia, R., "Lost message detection and recovery protocol", RFC 663, DOI 10.17487/RFC0663, November 1974, <https://www.rfc-editor.org/info/rfc663>.
RFC0666 |           | Padlipsky, M., "Specification of the Unified User-Level Protocol", RFC 666, DOI 10.17487/RFC0666, November 1974, <https://www.rfc-editor.org/info/rfc666>.
RFC0667 |           | Chipman, S., "Host Ports", RFC 667, DOI 10.17487/RFC0667, December 1974, <https://www.rfc-editor.org/info/rfc667>.
RFC0669 |           | Dodds, D., "November, 1974, survey of New-Protocol Telnet servers", RFC 669, DOI 10.17487/RFC0669, December 1974, <https://www.rfc-editor.org/info/rfc669>.
RFC0671 |           | Schantz, R., "Note on Reconnection Protocol", RFC 671, DOI 10.17487/RFC0671, December 1974, <https://www.rfc-editor.org/info/rfc671>.
RFC0672 |           | Schantz, R., "Multi-site data collection facility", RFC 672, DOI 10.17487/RFC0672, December 1974, <https://www.rfc-editor.org/info/rfc672>.
RFC0674 |           | Postel, J. and J. White, "Procedure call documents: Version 2", RFC 674, DOI 10.17487/RFC0674, December 1974, <https://www.rfc-editor.org/info/rfc674>.
RFC0675 |   RFC7805 | Cerf, V., Dalal, Y., and C. Sunshine, "Specification of Internet Transmission Control Program", RFC 675, DOI 10.17487/RFC0675, December 1974, <https://www.rfc-editor.org/info/rfc675>.
RFC0677 |           | Johnson, P. and R. Thomas, "Maintenance of duplicate databases", RFC 677, DOI 10.17487/RFC0677, January 1975, <https://www.rfc-editor.org/info/rfc677>.
RFC0678 |           | Postel, J., "Standard file formats", RFC 678, DOI 10.17487/RFC0678, December 1974, <https://www.rfc-editor.org/info/rfc678>.
RFC0679 |           | Dodds, D., "February, 1975, survey of New-Protocol Telnet servers", RFC 679, DOI 10.17487/RFC0679, February 1975, <https://www.rfc-editor.org/info/rfc679>.
RFC0680 |           | Myer, T. and D. Henderson, "Message Transmission Protocol", RFC 680, DOI 10.17487/RFC0680, April 1975, <https://www.rfc-editor.org/info/rfc680>.
RFC0681 |           | Holmgren, S., "Network UNIX", RFC 681, DOI 10.17487/RFC0681, March 1975, <https://www.rfc-editor.org/info/rfc681>.
RFC0683 |           | Clements, R., "FTPSRV - Tenex extension for paged files", RFC 683, DOI 10.17487/RFC0683, April 1975, <https://www.rfc-editor.org/info/rfc683>.
RFC0684 |           | Schantz, R., "Commentary on procedure calling as a network protocol", RFC 684, DOI 10.17487/RFC0684, April 1975, <https://www.rfc-editor.org/info/rfc684>.
RFC0685 |           | Beeler, M., "Response time in cross network debugging", RFC 685, DOI 10.17487/RFC0685, April 1975, <https://www.rfc-editor.org/info/rfc685>.
RFC0686 |           | Harvey, B., "Leaving well enough alone", RFC 686, DOI 10.17487/RFC0686, May 1975, <https://www.rfc-editor.org/info/rfc686>.
RFC0687 |   RFC0704 | Walden, D., "IMP/Host and Host/IMP Protocol changes", RFC 687, DOI 10.17487/RFC0687, June 1975, <https://www.rfc-editor.org/info/rfc687>.
RFC0688 |           | Walden, D., "Tentative schedule for the new Telnet implementation for the TIP", RFC 688, DOI 10.17487/RFC0688, June 1975, <https://www.rfc-editor.org/info/rfc688>.
RFC0689 |           | Clements, R., "Tenex NCP finite state machine for connections", RFC 689, DOI 10.17487/RFC0689, May 1975, <https://www.rfc-editor.org/info/rfc689>.
RFC0690 |           | Postel, J., "Comments on the proposed Host/IMP Protocol changes", RFC 690, DOI 10.17487/RFC0690, June 1975, <https://www.rfc-editor.org/info/rfc690>.
RFC0691 |           | Harvey, B., "One more try on the FTP", RFC 691, DOI 10.17487/RFC0691, June 1975, <https://www.rfc-editor.org/info/rfc691>.
RFC0692 |           | Wolfe, S., "Comments on IMP/Host Protocol changes (RFCs 687 and 690)", RFC 692, DOI 10.17487/RFC0692, June 1975, <https://www.rfc-editor.org/info/rfc692>.
RFC0694 |           | Postel, J., "Protocol information", RFC 694, DOI 10.17487/RFC0694, June 1975, <https://www.rfc-editor.org/info/rfc694>.
RFC0695 |           | Krilanovich, M., "Official change in Host-Host Protocol", RFC 695, DOI 10.17487/RFC0695, July 1975, <https://www.rfc-editor.org/info/rfc695>.
RFC0696 |           | Cerf, V., "Comments on the IMP/Host and Host/IMP Protocol changes", RFC 696, DOI 10.17487/RFC0696, July 1975, <https://www.rfc-editor.org/info/rfc696>.
RFC0697 |           | Lieb, J., "CWD command of FTP", RFC 697, DOI 10.17487/RFC0697, July 1975, <https://www.rfc-editor.org/info/rfc697>.
RFC0698 |   RFC5198 | Mock, T., "Telnet extended ASCII option", RFC 698, DOI 10.17487/RFC0698, July 1975, <https://www.rfc-editor.org/info/rfc698>.
RFC0699 |           | Postel, J. and J. Vernon, "Request For Comments summary notes: 600-699", RFC 699, DOI 10.17487/RFC0699, November 1982, <https://www.rfc-editor.org/info/rfc699>.
RFC0700 |           | Mader, E., Plummer, W., and R. Tomlinson, "Protocol experiment", RFC 700, DOI 10.17487/RFC0700, August 1974, <https://www.rfc-editor.org/info/rfc700>.
RFC0701 |           | Dodds, D., "August, 1974, survey of New-Protocol Telnet servers", RFC 701, DOI 10.17487/RFC0701, August 1974, <https://www.rfc-editor.org/info/rfc701>.
RFC0702 |           | Dodds, D., "September, 1974, survey of New-Protocol Telnet servers", RFC 702, DOI 10.17487/RFC0702, September 1974, <https://www.rfc-editor.org/info/rfc702>.
RFC0703 |           | Dodds, D., "July, 1975, survey of New-Protocol Telnet Servers", RFC 703, DOI 10.17487/RFC0703, July 1975, <https://www.rfc-editor.org/info/rfc703>.
RFC0704 |           | Santos, P., "IMP/Host and Host/IMP Protocol change", RFC 704, DOI 10.17487/RFC0704, September 1975, <https://www.rfc-editor.org/info/rfc704>.
RFC0705 |           | Bryan, R., "Front-end Protocol B6700 version", RFC 705, DOI 10.17487/RFC0705, November 1975, <https://www.rfc-editor.org/info/rfc705>.
RFC0706 |           | Postel, J., "On the junk mail problem", RFC 706, DOI 10.17487/RFC0706, November 1975, <https://www.rfc-editor.org/info/rfc706>.
RFC0707 |           | White, J., "High-level framework for network-based resource sharing", RFC 707, DOI 10.17487/RFC0707, December 1975, <https://www.rfc-editor.org/info/rfc707>.
RFC0708 |           | White, J., "Elements of a Distributed Programming System", RFC 708, DOI 10.17487/RFC0708, January 1976, <https://www.rfc-editor.org/info/rfc708>.
RFC0712 |           | Donnelley, J., "Distributed Capability Computing System (DCCS)", RFC 712, DOI 10.17487/RFC0712, February 1976, <https://www.rfc-editor.org/info/rfc712>.
RFC0713 |           | Haverty, J., "MSDTP-Message Services Data Transmission Protocol", RFC 713, DOI 10.17487/RFC0713, April 1976, <https://www.rfc-editor.org/info/rfc713>.
RFC0714 |           | McKenzie, A., "Host-Host Protocol for an ARPANET-Type Network", RFC 714, DOI 10.17487/RFC0714, April 1976, <https://www.rfc-editor.org/info/rfc714>.
RFC0716 |           | Walden, D. and J. Levin, "Interim Revision to Appendix F of BBN 1822", RFC 716, DOI 10.17487/RFC0716, May 1976, <https://www.rfc-editor.org/info/rfc716>.
RFC0717 |           | Postel, J., "Assigned Network Numbers", RFC 717, DOI 10.17487/RFC0717, July 1976, <https://www.rfc-editor.org/info/rfc717>.
RFC0718 |           | Postel, J., "Comments on RCTE from the Tenex Implementation Experience", RFC 718, DOI 10.17487/RFC0718, June 1976, <https://www.rfc-editor.org/info/rfc718>.
RFC0719 |           | Postel, J., "Discussion on RCTE", RFC 719, DOI 10.17487/RFC0719, July 1976, <https://www.rfc-editor.org/info/rfc719>.
RFC0720 |           | Crocker, D., "Address Specification Syntax for Network Mail", RFC 720, DOI 10.17487/RFC0720, August 1976, <https://www.rfc-editor.org/info/rfc720>.
RFC0721 |   RFC7805 | Garlick, L., "Out-of-Band Control Signals in a Host-to-Host Protocol", RFC 721, DOI 10.17487/RFC0721, September 1976, <https://www.rfc-editor.org/info/rfc721>.
RFC0722 |           | Haverty, J., "Thoughts on Interactions in Distributed Services", RFC 722, DOI 10.17487/RFC0722, September 1976, <https://www.rfc-editor.org/info/rfc722>.
RFC0724 |   RFC0733 | Crocker, D., Pogran, K., Vittal, J., and D. Henderson, "Proposed official standard for the format of ARPA Network messages", RFC 724, DOI 10.17487/RFC0724, May 1977, <https://www.rfc-editor.org/info/rfc724>.
RFC0725 |           | Day, J. and G. Grossman, "RJE protocol for a resource sharing network", RFC 725, DOI 10.17487/RFC0725, March 1977, <https://www.rfc-editor.org/info/rfc725>.
RFC0726 |           | Postel, J. and D. Crocker, "Remote Controlled Transmission and Echoing Telnet option", RFC 726, DOI 10.17487/RFC0726, March 1977, <https://www.rfc-editor.org/info/rfc726>.
RFC0727 |           | Crispin, M., "Telnet logout option", RFC 727, DOI 10.17487/RFC0727, April 1977, <https://www.rfc-editor.org/info/rfc727>.
RFC0728 |           | Day, J., "Minor pitfall in the Telnet Protocol", RFC 728, DOI 10.17487/RFC0728, April 1977, <https://www.rfc-editor.org/info/rfc728>.
RFC0729 |   RFC0735 | Crocker, D., "Telnet byte macro option", RFC 729, DOI 10.17487/RFC0729, May 1977, <https://www.rfc-editor.org/info/rfc729>.
RFC0730 |           | Postel, J., "Extensible field addressing", RFC 730, DOI 10.17487/RFC0730, May 1977, <https://www.rfc-editor.org/info/rfc730>.
RFC0731 |   RFC0732 | Day, J., "Telnet Data Entry Terminal option", RFC 731, DOI 10.17487/RFC0731, June 1977, <https://www.rfc-editor.org/info/rfc731>.
RFC0732 |           | Day, J., "Telnet Data Entry Terminal option", RFC 732, DOI 10.17487/RFC0732, September 1977, <https://www.rfc-editor.org/info/rfc732>.
RFC0733 |   RFC0822 | Crocker, D., Vittal, J., Pogran, K., and D. Henderson, "Standard for the format of ARPA network text messages", RFC 733, DOI 10.17487/RFC0733, November 1977, <https://www.rfc-editor.org/info/rfc733>.
RFC0734 |           | Crispin, M., "SUPDUP Protocol", RFC 734, DOI 10.17487/RFC0734, October 1977, <https://www.rfc-editor.org/info/rfc734>.
RFC0735 |           | Crocker, D. and R. Gumpertz, "Revised Telnet byte macro option", RFC 735, DOI 10.17487/RFC0735, November 1977, <https://www.rfc-editor.org/info/rfc735>.
RFC0736 |           | Crispin, M., "Telnet SUPDUP option", RFC 736, DOI 10.17487/RFC0736, October 1977, <https://www.rfc-editor.org/info/rfc736>.
RFC0737 |           | Harrenstien, K., "FTP extension: XSEN", RFC 737, DOI 10.17487/RFC0737, October 1977, <https://www.rfc-editor.org/info/rfc737>.
RFC0738 |           | Harrenstien, K., "Time server", RFC 738, DOI 10.17487/RFC0738, October 1977, <https://www.rfc-editor.org/info/rfc738>.
RFC0739 |   RFC0750 | Postel, J., "Assigned numbers", RFC 739, DOI 10.17487/RFC0739, November 1977, <https://www.rfc-editor.org/info/rfc739>.
RFC0740 |           | Braden, R., "NETRJS Protocol", RFC 740, DOI 10.17487/RFC0740, November 1977, <https://www.rfc-editor.org/info/rfc740>.
RFC0741 |           | Cohen, D., "Specifications for the Network Voice Protocol (NVP)", RFC 741, DOI 10.17487/RFC0741, November 1977, <https://www.rfc-editor.org/info/rfc741>.
RFC0742 |   RFC1288, RFC1196, RFC1194 | Harrenstien, K., "NAME/FINGER Protocol", RFC 742, DOI 10.17487/RFC0742, December 1977, <https://www.rfc-editor.org/info/rfc742>.
RFC0743 |           | Harrenstien, K., "FTP extension: XRSQ/XRCP", RFC 743, DOI 10.17487/RFC0743, December 1977, <https://www.rfc-editor.org/info/rfc743>.
RFC0744 |           | Sattley, J., "MARS - a Message Archiving and Retrieval Service", RFC 744, DOI 10.17487/RFC0744, January 1978, <https://www.rfc-editor.org/info/rfc744>.
RFC0745 |           | Beeler, M., "JANUS interface specifications", RFC 745, DOI 10.17487/RFC0745, March 1978, <https://www.rfc-editor.org/info/rfc745>.
RFC0746 |           | Stallman, R., "SUPDUP graphics extension", RFC 746, DOI 10.17487/RFC0746, March 1978, <https://www.rfc-editor.org/info/rfc746>.
RFC0747 |           | Crispin, M., "Recent extensions to the SUPDUP Protocol", RFC 747, DOI 10.17487/RFC0747, March 1978, <https://www.rfc-editor.org/info/rfc747>.
RFC0748 |           | Crispin, M., "Telnet randomly-lose option", RFC 748, DOI 10.17487/RFC0748, April 1 1978, <https://www.rfc-editor.org/info/rfc748>.
RFC0749 |           | Greenberg, B., "Telnet SUPDUP-Output option", RFC 749, DOI 10.17487/RFC0749, September 1978, <https://www.rfc-editor.org/info/rfc749>.
RFC0750 |   RFC0755 | Postel, J., "Assigned numbers", RFC 750, DOI 10.17487/RFC0750, September 1978, <https://www.rfc-editor.org/info/rfc750>.
RFC0751 |           | Lebling, P., "Survey of FTP mail and MLFL", RFC 751, DOI 10.17487/RFC0751, December 1978, <https://www.rfc-editor.org/info/rfc751>.
RFC0752 |           | Crispin, M., "Universal host table", RFC 752, DOI 10.17487/RFC0752, January 1979, <https://www.rfc-editor.org/info/rfc752>.
RFC0753 |           | Postel, J., "Internet Message Protocol", RFC 753, DOI 10.17487/RFC0753, March 1979, <https://www.rfc-editor.org/info/rfc753>.
RFC0754 |           | Postel, J., "Out-of-net host addresses for mail", RFC 754, DOI 10.17487/RFC0754, April 1979, <https://www.rfc-editor.org/info/rfc754>.
RFC0755 |   RFC0758 | Postel, J., "Assigned numbers", RFC 755, DOI 10.17487/RFC0755, May 1979, <https://www.rfc-editor.org/info/rfc755>.
RFC0756 |           | Pickens, J., Feinler, E., and J. Mathis, "NIC name server - a datagram-based information utility", RFC 756, DOI 10.17487/RFC0756, July 1979, <https://www.rfc-editor.org/info/rfc756>.
RFC0757 |           | Deutsch, D., "Suggested solution to the naming, addressing, and delivery problem for ARPANET message systems", RFC 757, DOI 10.17487/RFC0757, September 1979, <https://www.rfc-editor.org/info/rfc757>.
RFC0758 |   RFC0762 | Postel, J., "Assigned numbers", RFC 758, DOI 10.17487/RFC0758, August 1979, <https://www.rfc-editor.org/info/rfc758>.
RFC0759 |           | Postel, J., "Internet Message Protocol", RFC 759, DOI 10.17487/RFC0759, August 1980, <https://www.rfc-editor.org/info/rfc759>.
RFC0760 |   RFC0791 | Postel, J., "DoD standard Internet Protocol", RFC 760, DOI 10.17487/RFC0760, January 1980, <https://www.rfc-editor.org/info/rfc760>.
RFC0761 |   RFC0793, RFC7805 | Postel, J., "DoD standard Transmission Control Protocol", RFC 761, DOI 10.17487/RFC0761, January 1980, <https://www.rfc-editor.org/info/rfc761>.
RFC0762 |   RFC0770 | Postel, J., "Assigned numbers", RFC 762, DOI 10.17487/RFC0762, January 1980, <https://www.rfc-editor.org/info/rfc762>.
RFC0763 |           | Abrams, M., "Role mailboxes", RFC 763, DOI 10.17487/RFC0763, May 1980, <https://www.rfc-editor.org/info/rfc763>.
RFC0764 |   RFC0854 | Postel, J., "Telnet Protocol specification", RFC 764, DOI 10.17487/RFC0764, June 1980, <https://www.rfc-editor.org/info/rfc764>.
RFC0765 |   RFC0959 | Postel, J., "File Transfer Protocol specification", RFC 765, DOI 10.17487/RFC0765, June 1980, <https://www.rfc-editor.org/info/rfc765>.
RFC0766 |   RFC0774 | Postel, J., "Internet Protocol Handbook: Table of contents", RFC 766, DOI 10.17487/RFC0766, July 1980, <https://www.rfc-editor.org/info/rfc766>.
RFC0767 |           | Postel, J., "Structured format for transmission of multi-media documents", RFC 767, DOI 10.17487/RFC0767, August 1980, <https://www.rfc-editor.org/info/rfc767>.
RFC0768 |           | Postel, J., "User Datagram Protocol", STD 6, RFC 768, DOI 10.17487/RFC0768, August 1980, <https://www.rfc-editor.org/info/rfc768>.
RFC0769 |           | Postel, J., "Rapicom 450 facsimile file format", RFC 769, DOI 10.17487/RFC0769, September 1980, <https://www.rfc-editor.org/info/rfc769>.
RFC0770 |   RFC0776 | Postel, J., "Assigned numbers", RFC 770, DOI 10.17487/RFC0770, September 1980, <https://www.rfc-editor.org/info/rfc770>.
RFC0771 |           | Cerf, V. and J. Postel, "Mail transition plan", RFC 771, DOI 10.17487/RFC0771, September 1980, <https://www.rfc-editor.org/info/rfc771>.
